66 0 107 118 277 288 301 3584 0 5789 6175 14414 14983 15686 460 0 752 861 1870 1874 1882 668244 0 1091653 1249283 2715385 2721265 2733738
0 0 0 0 0 1 1 8 0 35 0 0 42 112 0 0 0 0 0 0 1 3 0 14 0 0 1 67
0 0 0 0 1 1 1 23 0 119 0 40 44 184 0 0 0 0 0 0 1 9 0 54 0 0 2 71
0 0 0 0 1 1 1 70 0 341 0 44 200 783 0 0 0 0 0 1 1 14 0 59 0 4 56 155
0 0 0 0 0 1 1 49 0 323 0 4 75 177 0 0 0 0 0 1 1 6 0 27 0 0 40 123
0 0 0 0 0 0 0 3 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 4 0 26 0 0 0 32 0 0 0 0 0 0 0 1 0 10 0 0 0 0
0 0 0 0 0 1 1 6 0 28 0 0 40 72 0 0 0 0 0 0 1 3 0 16 0 0 1 76
0 0 0 0 0 1 1 7 0 29 0 4 41 78 0 0 0 0 0 0 0 2 0 12 0 0 0 32
67 0 249 0 1 821 1044 97598 0 361387 0 354 1192828 1515460 34 0 137 0 0 302 457 2093 0 7744 0 330 21687 25577
85 0 270 0 81 900 1044 124261 0 392853 0 115475 1305977 1515460 42 0 143 0 45 322 457 2741 0 8387 0 5688 23901 25884
18 0 117 0 0 1 170 26664 0 170110 0 0 108 246032 8 0 45 0 0 0 135 647 0 3616 0 0 38 10441
0 0 1 0 0 0 2 105 0 763 0 0 9 197 0 0 1 0 0 0 3 125 0 884 0 0 0 530
0 0 1 0 0 1 2 110 0 763 0 0 188 200 0 0 1 0 0 0 3 126 0 884 0 0 3 544
0 0 0 0 0 1 1 7 0 30 0 0 41 90 0 0 0 0 0 0 1 3 0 14 0 0 1 67
0 0 1 1 3 4 5 181 0 460 40 738 985 1513 1 0 2 1 3 6 8 440 0 1257 43 1469 4527 4852
0 0 1 1 3 4 5 180 0 461 42 738 985 1513 1 0 2 0 3 6 8 440 0 1258 13 1469 4527 4852
1 0 4 2 5 6 8 269 0 530 104 1146 1611 1825 1 0 5 1 6 11 13 729 0 1982 52 2230 6328 7405
2 0 6 2 5 7 28 342 0 573 647 1279 1654 1834 2 0 6 2 9 13 29 938 0 2246 162 4876 6910 8175
1 0 5 0 4 12 21 136 0 357 0 687 1029 1225 2 0 5 0 6 12 21 268 0 1201 0 687 1048 1612
1 0 4 0 1 12 19 65 0 223 0 56 683 981 1 0 4 0 0 12 19 58 0 222 0 0 683 981
0 0 0 0 0 1 1 30 0 192 0 0 40 171 0 0 0 0 0 0 0 81 0 623 0 0 0 0
0 0 1 0 1 1 2 51 0 220 0 43 205 732 0 0 0 0 0 0 0 81 0 623 0 0 0 0
14 0 63 0 2 54 234 903 0 3915 0 211 2910 18521 80 0 355 0 0 168 1696 116143 0 516301 0 0 243791 2463597
14 0 63 0 2 54 234 914 0 3915 0 207 2910 18521 80 0 355 0 1 168 1696 116149 0 516299 0 58 243791 2463597
0 0 0 0 1 1 1 44 0 185 0 88 198 259 0 0 0 0 0 1 1 7 0 25 0 0 53 111
0 0 0 0 0 0 1 7 0 36 0 0 3 176 0 0 0 0 0 0 0 1 0 9 0 0 0 0
0 0 0 0 0 0 0 4 0 26 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 1 8 0 30 0 4 49 90 0 0 0 0 0 0 0 1 0 10 0 0 0 32
0 0 0 0 0 1 1 8 0 30 0 4 41 90 0 0 0 0 0 0 0 1 0 10 0 0 0 32
0 0 0 0 0 1 1 8 0 36 0 0 40 171 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 4 0 26 0 0 1 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 1 30 0 193 0 0 42 178 0 0 0 0 0 1 1 84 0 623 0 0 53 83
52 0 98 16 230 292 301 2874 0 5329 1721 13576 15339 15706 424 0 770 48 1862 1877 1909 616305 0 1119261 65968 2704204 2726057 2772013
57 0 103 62 252 295 301 3153 0 5547 3532 14144 15347 15706 460 0 787 483 1862 1877 1909 668206 0 1143516 701454 2704204 2726057 2772013
5 0 38 0 0 1 48 312 0 1995 0 0 108 2551 35 0 237 0 0 0 259 51985 0 344743 0 0 2 375211
0 0 0 0 0 1 1 7 0 28 0 4 40 72 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 1 1 18 0 48 0 76 160 161 0 0 0 0 0 0 0 1 0 9 0 0 0 0
0 0 0 0 1 1 1 16 0 47 0 72 160 161 0 0 0 0 0 0 0 1 0 9 0 0 0 0
0 0 0 0 0 0 1 5 0 27 0 0 2 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 1 8 0 36 0 0 40 171 0 0 0 0 0 0 0 0 0 6 0 0 0 0
0 0 0 0 1 1 2 36 0 161 0 40 99 594 0 0 0 0 0 1 1 86 0 622 0 0 53 125
404 2 453 842 939 976 1165 586868 387 657562 1221934 1363718 1418531 1683220 217 1 250 467 517 538 632 12307 109 13799 25273 28718 30877 35043
468 722 459 887 969 987 1165 679334 1049070 666212 1287703 1407278 1433704 1683220 257 272 258 498 530 561 721 14544 21258 14348 26754 29237 34510 43492
63 0 238 0 1 892 979 92498 0 346376 0 50 1296606 1422466 40 0 147 0 1 524 542 2321 0 8396 0 166 27955 29216
0 0 0 0 0 0 0 3 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 4 0 26 0 0 0 32 0 0 0 0 0 0 0 0 0 5 0 0 0 0
0 0 0 0 0 0 0 4 0 26 0 0 0 32 0 0 0 0 0 0 0 0 0 5 0 0 0 0
0 0 0 0 0 1 1 7 0 29 0 0 41 75 0 0 0 0 0 0 0 1 0 9 0 0 0 0
0 0 0 0 1 1 3 68 0 352 0 43 162 646 0 0 1 0 0 0 1 81 0 605 0 0 3 97
0 0 0 0 1 1 3 68 0 353 0 40 200 646 0 0 1 0 0 0 1 81 0 605 0 0 3 97
0 0 0 0 0 1 1 28 0 185 0 0 40 174 0 0 0 0 0 0 0 82 0 623 0 0 0 63
