0 0 0 0 0 0 1 11 0 53 0 0 9 200 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 1 1 22 0 108 0 40 73 177 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 1 3 33 0 138 0 40 158 594 0 0 0 0 0 2 3 118 0 652 0 0 122 1614
0 0 0 0 0 0 0 3 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 1 6 0 28 0 0 41 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 1 1 23 0 59 0 153 200 200 0 0 0 0 0 0 0 1 0 9 0 0 0 0
0 0 0 0 1 1 2 35 0 137 0 54 108 626 0 0 0 0 0 1 2 111 0 648 0 4 53 1377
0 0 0 0 0 0 0 3 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 1 6 0 27 0 0 40 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 3 32 0 138 0 4 158 594 0 0 0 0 0 0 3 112 0 657 0 0 2 1549
0 0 0 0 1 1 1 18 0 55 0 43 198 199 0 0 0 0 0 0 0 5 0 31 0 0 0 62
0 0 0 0 0 0 1 5 0 27 0 0 1 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 0 57 2 121 155 203 1509 0 3412 326 8400 9657 12718 288 0 604 2 1654 1872 1877 418805 0 876867 1244 2401608 2718216 2720650
25 0 65 0 140 162 223 1421 0 3538 0 8023 8553 12298 171 0 435 0 749 881 1748 249489 0 632366 0 1088128 1279433 2537186
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 1 3 41 0 141 0 156 200 594 0 0 0 0 0 0 3 111 0 647 0 0 5 1498
0 0 0 0 0 1 1 11 0 39 0 0 80 161 0 0 0 0 0 0 0 1 0 9 0 0 0 0
445 9 468 937 953 963 1032 646190 7728 680447 1361250 1384336 1398784 1499335 187 5 216 352 464 493 556 10194 3268 11499 19045 24656 26210 30266
18 0 118 0 1 3 150 26496 0 172281 0 104 690 216191 8 0 45 0 1 3 111 541 0 2511 0 58 1811 6908
0 0 0 0 0 1 1 7 0 29 0 4 40 81 0 0 0 0 0 0 0 1 0 10 0 0 0 32
0 0 0 0 0 1 2 31 0 138 0 0 200 594 0 0 0 0 0 0 0 81 0 615 0 0 0 49
13 0 57 0 1 43 238 841 0 3749 0 208 2238 17762 80 0 371 0 0 323 1591 116140 0 538763 0 0 467523 2310306
0 0 0 0 0 0 1 5 0 27 0 0 1 69 0 0 0 0 0 0 0 1 0 9 0 0 0 0
0 0 0 0 0 0 0 3 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 2 33 0 161 0 0 47 594 0 0 0 0 0 0 0 82 0 622 0 0 0 49
